,batsman,opponent_team,total_runs,total_balls_faced,strike_rate,dismissals
1084,DP Conway,Gujarat Titans,93,77,1.0,4
1085,DP Conway,Kolkata Knight Riders,101,87,1.0,4
1086,DP Conway,Lucknow Super Giants,47,30,1.0,1
1087,DP Conway,Mumbai Indians,44,48,0.0,3
1088,DP Conway,Punjab Kings,161,107,1.0,0
1089,DP Conway,Rajasthan Royals,74,69,1.0,3
1090,DP Conway,Royal Challengers Bangalore,139,83,1.0,2
1091,DP Conway,Sunrisers Hyderabad,162,113,1.0,0
1092,DP Nannes,Deccan Chargers,1,2,0.0,0
1093,DP Nannes,Mumbai Indians,3,11,0.0,1
1094,DP Vijaykumar,Delhi Daredevils,1,1,1.0,0
1095,DPMD Jayawardene,Chennai Super Kings,195,152,1.0,9
1096,DPMD Jayawardene,Deccan Chargers,219,152,1.0,4
1097,DPMD Jayawardene,Delhi Daredevils,120,114,1.0,6
1098,DPMD Jayawardene,Kings XI Punjab,183,161,1.0,3
1099,DPMD Jayawardene,Kolkata Knight Riders,451,355,1.0,6
1100,DPMD Jayawardene,Mumbai Indians,261,207,1.0,9
1101,DPMD Jayawardene,Pune Warriors,53,57,0.0,4
1102,DPMD Jayawardene,Rajasthan Royals,163,156,1.0,11
1103,DPMD Jayawardene,Royal Challengers Bangalore,140,142,0.0,5
1104,DPMD Jayawardene,Sunrisers Hyderabad,23,26,0.0,2
1105,DR Martyn,Royal Challengers Bangalore,19,26,0.0,1
1106,DR Sams,Chennai Super Kings,6,10,0.0,2
1107,DR Sams,Delhi Capitals,10,6,1.0,0
1108,DR Sams,Gujarat Titans,0,2,0.0,1
1109,DR Sams,Kolkata Knight Riders,1,2,0.0,1
1110,DR Sams,Lucknow Super Giants,3,8,0.0,1
1111,DR Sams,Mumbai Indians,0,2,0.0,1
1112,DR Sams,Punjab Kings,3,4,0.0,1
1113,DR Sams,Rajasthan Royals,6,2,3.0,1
1114,DR Sams,Sunrisers Hyderabad,15,12,1.0,1
1115,DR Shorey,Mumbai Indians,5,11,0.0,1
1116,DR Shorey,Royal Challengers Bangalore,8,9,0.0,1
1117,DR Smith,Chennai Super Kings,233,131,1.0,7
1118,DR Smith,Delhi Daredevils,319,251,1.0,11
1119,DR Smith,Kings XI Punjab,249,187,1.0,8
1120,DR Smith,Kolkata Knight Riders,187,164,1.0,9
1121,DR Smith,Mumbai Indians,344,273,1.0,10
1122,DR Smith,Pune Warriors,0,1,0.0,1
1123,DR Smith,Rajasthan Royals,355,267,1.0,9
1124,DR Smith,Rising Pune Supergiant,47,32,1.0,2
1125,DR Smith,Rising Pune Supergiants,63,39,1.0,1
1126,DR Smith,Royal Challengers Bangalore,275,207,1.0,13
1127,DR Smith,Sunrisers Hyderabad,313,251,1.0,9
1128,DS Kulkarni,Chennai Super Kings,38,24,1.0,0
1129,DS Kulkarni,Deccan Chargers,7,9,0.0,0
1130,DS Kulkarni,Delhi Daredevils,1,4,0.0,1
1131,DS Kulkarni,Kings XI Punjab,15,28,0.0,1
1132,DS Kulkarni,Kolkata Knight Riders,3,3,1.0,0
1133,DS Kulkarni,Mumbai Indians,6,3,2.0,0
1134,DS Kulkarni,Rajasthan Royals,1,5,0.0,1
1135,DS Kulkarni,Royal Challengers Bangalore,16,19,0.0,4
1136,DS Kulkarni,Sunrisers Hyderabad,17,18,0.0,1
1137,DS Lehmann,Delhi Daredevils,1,2,0.0,1
1138,DS Lehmann,Kings XI Punjab,17,17,1.0,1
1139,DT Christian,Chennai Super Kings,33,33,1.0,2
1140,DT Christian,Delhi Daredevils,57,59,0.0,3
1141,DT Christian,Gujarat Lions,17,8,2.0,0
1142,DT Christian,Kings XI Punjab,90,57,1.0,4
1143,DT Christian,Kochi Tuskers Kerala,9,12,0.0,1
1144,DT Christian,Kolkata Knight Riders,60,42,1.0,3
1145,DT Christian,Mumbai Indians,101,114,0.0,6
1146,DT Christian,Pune Warriors,24,23,1.0,1
1147,DT Christian,Punjab Kings,0,1,0.0,1
1148,DT Christian,Rajasthan Royals,55,38,1.0,1
1149,DT Christian,Royal Challengers Bangalore,1,4,0.0,2
1150,DT Christian,Sunrisers Hyderabad,13,17,0.0,3
1151,DT Patil,Kings XI Punjab,4,1,4.0,0
1152,DT Patil,Rajasthan Royals,9,12,0.0,1
1153,DW Steyn,Chennai Super Kings,20,26,0.0,4
1154,DW Steyn,Deccan Chargers,0,1,0.0,1
1155,DW Steyn,Delhi Daredevils,19,17,1.0,2
1156,DW Steyn,Kings XI Punjab,16,26,0.0,1
1157,DW Steyn,Kolkata Knight Riders,22,19,1.0,3
1158,DW Steyn,Mumbai Indians,33,36,0.0,5
1159,DW Steyn,Pune Warriors,15,7,2.0,1
1160,DW Steyn,Rajasthan Royals,38,26,1.0,2
1161,DW Steyn,Royal Challengers Bangalore,3,3,1.0,0
1162,DW Steyn,Sunrisers Hyderabad,1,2,0.0,1
1163,E Lewis,Chennai Super Kings,161,115,1.0,4
1164,E Lewis,Delhi Capitals,5,13,0.0,1
1165,E Lewis,Delhi Daredevils,96,63,1.0,2
1166,E Lewis,Gujarat Titans,10,9,1.0,1
1167,E Lewis,Kings XI Punjab,19,21,0.0,2
1168,E Lewis,Kolkata Knight Riders,76,58,1.0,3
1169,E Lewis,Mumbai Indians,24,20,1.0,1
1170,E Lewis,Punjab Kings,36,22,1.0,1
1171,E Lewis,Rajasthan Royals,60,46,1.0,2
1172,E Lewis,Royal Challengers Bangalore,125,90,1.0,2
1173,E Lewis,Sunrisers Hyderabad,42,42,1.0,5
1174,EJG Morgan,Chennai Super Kings,119,129,0.0,9
1175,EJG Morgan,Deccan Chargers,14,18,0.0,1
1176,EJG Morgan,Delhi Capitals,61,35,1.0,5
1177,EJG Morgan,Delhi Daredevils,100,97,1.0,7
1178,EJG Morgan,Kings XI Punjab,223,157,1.0,7
1179,EJG Morgan,Kochi Tuskers Kerala,76,64,1.0,1
1180,EJG Morgan,Kolkata Knight Riders,66,61,1.0,3
1181,EJG Morgan,Mumbai Indians,132,132,1.0,7
1182,EJG Morgan,Pune Warriors,15,15,1.0,1
1183,EJG Morgan,Punjab Kings,49,42,1.0,1
1184,EJG Morgan,Rajasthan Royals,256,175,1.0,3
1185,EJG Morgan,Rising Pune Supergiant,4,4,1.0,1
1186,EJG Morgan,Rising Pune Supergiants,0,2,0.0,1
1187,EJG Morgan,Royal Challengers Bangalore,115,118,0.0,7
1188,EJG Morgan,Sunrisers Hyderabad,176,132,1.0,5
1189,ER Dwivedi,Royal Challengers Bangalore,19,9,2.0,1
1190,ER Dwivedi,Sunrisers Hyderabad,5,6,0.0,1
1191,F Behardien,Rising Pune Supergiants,5,5,1.0,1
1192,F Behardien,Royal Challengers Bangalore,9,8,1.0,1
1193,F du Plessis,Chennai Super Kings,197,128,1.0,4
1194,F du Plessis,Deccan Chargers,81,61,1.0,2
1195,F du Plessis,Delhi Capitals,282,248,1.0,11
1196,F du Plessis,Delhi Daredevils,141,118,1.0,6
1197,F du Plessis,Gujarat Lions,69,43,1.0,1
1198,F du Plessis,Gujarat Titans,160,97,1.0,5
1199,F du Plessis,Kings XI Punjab,502,343,1.0,9
1200,F du Plessis,Kolkata Knight Riders,487,372,1.0,15
1201,F du Plessis,Lucknow Super Giants,267,187,1.0,5
1202,F du Plessis,Mumbai Indians,562,448,1.0,17
1203,F du Plessis,Pune Warriors,101,82,1.0,2
1204,F du Plessis,Punjab Kings,306,234,1.0,6
1205,F du Plessis,Rajasthan Royals,550,423,1.0,15
1206,F du Plessis,Royal Challengers Bangalore,324,264,1.0,9
1207,F du Plessis,Royal Challengers Bengaluru,2,7,0.0,1
1208,F du Plessis,Sunrisers Hyderabad,621,435,1.0,14
1209,FA Allen,Lucknow Super Giants,8,7,1.0,1
1210,FA Allen,Rajasthan Royals,0,1,0.0,0
1211,FA Allen,Sunrisers Hyderabad,6,11,0.0,1
1212,Fazalhaq Farooqi,Gujarat Titans,1,5,0.0,0
1213,Fazalhaq Farooqi,Royal Challengers Bangalore,2,8,0.0,0
1214,Fazalhaq Farooqi,Royal Challengers Bengaluru,2,2,1.0,0
1215,FH Edwards,Mumbai Indians,1,3,0.0,1
1216,FH Edwards,Royal Challengers Bangalore,3,2,1.0,0
1217,FY Fazal,Chennai Super Kings,21,24,0.0,2
1218,FY Fazal,Deccan Chargers,44,41,1.0,1
1219,FY Fazal,Delhi Daredevils,0,2,0.0,1
1220,FY Fazal,Kings XI Punjab,45,40,1.0,1
1221,FY Fazal,Kochi Tuskers Kerala,16,15,1.0,1
1222,FY Fazal,Kolkata Knight Riders,47,41,1.0,2
1223,FY Fazal,Mumbai Indians,10,16,0.0,1
1224,G Coetzee,Gujarat Titans,1,3,0.0,1
1225,G Coetzee,Kolkata Knight Riders,8,7,1.0,1
1226,G Coetzee,Lucknow Super Giants,1,2,0.0,0
1227,G Coetzee,Rajasthan Royals,4,10,0.0,2
1228,G Gambhir,Chennai Super Kings,429,356,1.0,14
1229,G Gambhir,Deccan Chargers,225,188,1.0,9
1230,G Gambhir,Delhi Daredevils,413,339,1.0,10
1231,G Gambhir,Gujarat Lions,122,93,1.0,2
1232,G Gambhir,Kings XI Punjab,730,613,1.0,16
1233,G Gambhir,Kochi Tuskers Kerala,3,6,0.0,2
1234,G Gambhir,Kolkata Knight Riders,155,128,1.0,5
1235,G Gambhir,Mumbai Indians,467,418,1.0,21
1236,G Gambhir,Pune Warriors,182,165,1.0,4
1237,G Gambhir,Rajasthan Royals,423,367,1.0,12
1238,G Gambhir,Rising Pune Supergiant,86,67,1.0,2
1239,G Gambhir,Rising Pune Supergiants,11,6,1.0,2
1240,G Gambhir,Royal Challengers Bangalore,647,498,1.0,19
1241,G Gambhir,Sunrisers Hyderabad,324,280,1.0,10
1242,GB Hogg,Chennai Super Kings,2,1,2.0,0
1243,GB Hogg,Kings XI Punjab,5,5,1.0,0
1244,GB Hogg,Mumbai Indians,2,5,0.0,1
1245,GB Hogg,Royal Challengers Bangalore,13,11,1.0,1
1246,GC Smith,Chennai Super Kings,158,138,1.0,3
1247,GC Smith,Deccan Chargers,112,94,1.0,4
1248,GC Smith,Delhi Daredevils,123,136,0.0,5
1249,GC Smith,Kings XI Punjab,79,53,1.0,3
1250,GC Smith,Kochi Tuskers Kerala,24,27,0.0,1
1251,GC Smith,Kolkata Knight Riders,41,52,0.0,3
1252,GC Smith,Mumbai Indians,56,62,0.0,4
1253,GC Smith,Royal Challengers Bangalore,146,129,1.0,3
1254,GC Viljoen,Delhi Capitals,3,6,0.0,1
1255,GC Viljoen,Royal Challengers Bangalore,0,1,0.0,1
1256,GD McGrath,Mumbai Indians,0,2,0.0,1
1257,GD McGrath,Rajasthan Royals,4,3,1.0,0
1258,GD Phillips,Chennai Super Kings,14,8,1.0,0
1259,GD Phillips,Kolkata Knight Riders,8,12,0.0,1
1260,GD Phillips,Lucknow Super Giants,0,1,0.0,1
1261,GD Phillips,Mumbai Indians,5,17,0.0,2
1262,GD Phillips,Rajasthan Royals,33,13,2.0,2
1263,GD Phillips,Royal Challengers Bangalore,5,4,1.0,1
1264,GH Vihari,Chennai Super Kings,13,16,0.0,2
1265,GH Vihari,Delhi Daredevils,28,34,0.0,1
1266,GH Vihari,Kings XI Punjab,62,59,1.0,4
1267,GH Vihari,Kolkata Knight Riders,15,34,0.0,4
1268,GH Vihari,Mumbai Indians,82,71,1.0,3
1269,GH Vihari,Pune Warriors,12,21,0.0,2
1270,GH Vihari,Rajasthan Royals,24,46,0.0,3
1271,GH Vihari,Royal Challengers Bangalore,48,50,0.0,0
1272,GHS Garton,Punjab Kings,0,1,0.0,1
1273,GHS Garton,Sunrisers Hyderabad,2,3,0.0,0
1274,GJ Bailey,Chennai Super Kings,71,35,2.0,3
1275,GJ Bailey,Delhi Daredevils,52,54,0.0,3
1276,GJ Bailey,Kings XI Punjab,24,23,1.0,2
1277,GJ Bailey,Kolkata Knight Riders,173,146,1.0,6
1278,GJ Bailey,Mumbai Indians,136,95,1.0,2
1279,GJ Bailey,Rajasthan Royals,50,38,1.0,1
1280,GJ Bailey,Royal Challengers Bangalore,50,65,0.0,5
1281,GJ Bailey,Sunrisers Hyderabad,107,96,1.0,4
1282,GJ Maxwell,Chennai Super Kings,381,213,1.0,13
1283,GJ Maxwell,Delhi Capitals,188,135,1.0,6
1284,GJ Maxwell,Delhi Daredevils,45,38,1.0,6
1285,GJ Maxwell,Gujarat Lions,53,34,1.0,3
1286,GJ Maxwell,Gujarat Titans,88,46,1.0,4
1287,GJ Maxwell,Kings XI Punjab,12,13,0.0,2
1288,GJ Maxwell,Kolkata Knight Riders,494,368,1.0,19
1289,GJ Maxwell,Lucknow Super Giants,95,58,1.0,5
1290,GJ Maxwell,Mumbai Indians,437,285,1.0,16
1291,GJ Maxwell,Pune Warriors,13,7,1.0,0
1292,GJ Maxwell,Punjab Kings,95,66,1.0,5
1293,GJ Maxwell,Rajasthan Royals,398,265,1.0,13
1294,GJ Maxwell,Rising Pune Supergiant,44,27,1.0,1
1295,GJ Maxwell,Rising Pune Supergiants,32,14,2.0,0
1296,GJ Maxwell,Royal Challengers Bangalore,103,82,1.0,8
1297,GJ Maxwell,Sunrisers Hyderabad,342,245,1.0,13
1298,GR Napier,Kolkata Knight Riders,15,16,0.0,1
1299,Gulbadin Naib,Rajasthan Royals,19,15,1.0,1
1300,Gurkeerat Singh,Chennai Super Kings,48,46,1.0,3
1301,Gurkeerat Singh,Deccan Chargers,29,12,2.0,0
1302,Gurkeerat Singh,Delhi Capitals,27,20,1.0,1
1303,Gurkeerat Singh,Delhi Daredevils,34,17,2.0,2
1304,Gurkeerat Singh,Gujarat Lions,0,3,0.0,1
1305,Gurkeerat Singh,Kolkata Knight Riders,75,72,1.0,4
1306,Gurkeerat Singh,Mumbai Indians,22,21,1.0,2
1307,Gurkeerat Singh,Rajasthan Royals,58,62,0.0,3
1308,Gurkeerat Singh,Rising Pune Supergiants,51,30,1.0,1
1309,Gurkeerat Singh,Royal Challengers Bangalore,40,42,0.0,3
1310,Gurkeerat Singh,Sunrisers Hyderabad,127,111,1.0,4
1311,H Das,Mumbai Indians,2,5,0.0,1
1312,H Klaasen,Chennai Super Kings,61,64,0.0,4
1313,H Klaasen,Delhi Capitals,134,81,1.0,4
1314,H Klaasen,Gujarat Titans,115,78,1.0,3
1315,H Klaasen,Kolkata Knight Riders,214,134,1.0,5
1316,H Klaasen,Lucknow Super Giants,73,48,1.0,1
1317,H Klaasen,Mumbai Indians,244,147,1.0,6
1318,H Klaasen,Punjab Kings,72,51,1.0,2
1319,H Klaasen,Rajasthan Royals,158,89,1.0,4
1320,H Klaasen,Royal Challengers Bangalore,136,74,1.0,2
1321,H Klaasen,Royal Challengers Bengaluru,74,38,1.0,2
1322,Harbhajan Singh,Chennai Super Kings,171,130,1.0,11
1323,Harbhajan Singh,Deccan Chargers,86,41,2.0,2
1324,Harbhajan Singh,Delhi Daredevils,99,77,1.0,8
1325,Harbhajan Singh,Gujarat Lions,11,20,0.0,3
1326,Harbhajan Singh,Kings XI Punjab,136,98,1.0,9
1327,Harbhajan Singh,Kolkata Knight Riders,74,59,1.0,5
1328,Harbhajan Singh,Mumbai Indians,11,11,1.0,2
1329,Harbhajan Singh,Pune Warriors,29,22,1.0,2
1330,Harbhajan Singh,Rajasthan Royals,66,41,1.0,1
1331,Harbhajan Singh,Rising Pune Supergiant,7,2,3.0,0
1332,Harbhajan Singh,Rising Pune Supergiants,45,31,1.0,0
1333,Harbhajan Singh,Royal Challengers Bangalore,69,50,1.0,6
1334,Harbhajan Singh,Sunrisers Hyderabad,29,54,0.0,2
1335,Harmeet Singh,Chennai Super Kings,0,1,0.0,1
1336,Harmeet Singh,Kolkata Knight Riders,14,6,2.0,1
1337,Harmeet Singh,Rajasthan Royals,1,1,1.0,0
1338,Harmeet Singh,Sunrisers Hyderabad,3,4,0.0,0
1339,Harpreet Brar,Chennai Super Kings,17,13,1.0,0
1340,Harpreet Brar,Delhi Capitals,29,28,1.0,3
1341,Harpreet Brar,Gujarat Titans,38,21,1.0,1
1342,Harpreet Brar,Kolkata Knight Riders,31,28,1.0,1
1343,Harpreet Brar,Lucknow Super Giants,6,4,1.0,1
1344,Harpreet Brar,Mumbai Indians,40,43,0.0,2
1345,Harpreet Brar,Rajasthan Royals,3,3,1.0,0
1346,Harpreet Brar,Royal Challengers Bangalore,48,37,1.0,2
1347,Harpreet Brar,Royal Challengers Bengaluru,2,3,0.0,0
1348,Harpreet Brar,Sunrisers Hyderabad,19,21,0.0,1
1349,Harpreet Singh,Gujarat Titans,14,19,0.0,1
1350,Harpreet Singh,Kolkata Knight Riders,6,6,1.0,1
1351,Harpreet Singh,Lucknow Super Giants,22,22,1.0,1
1352,Harpreet Singh,Mumbai Indians,54,43,1.0,2
1353,Harpreet Singh,Rajasthan Royals,13,19,0.0,1
1354,Harpreet Singh,Royal Challengers Bangalore,14,10,1.0,0
1355,Harshit Rana,Delhi Capitals,0,1,0.0,0
1356,Harshit Rana,Gujarat Titans,1,2,0.0,0
1357,Harshit Rana,Lucknow Super Giants,12,10,1.0,1
1358,Harshit Rana,Mumbai Indians,4,8,0.0,1
1359,Harshit Rana,Punjab Kings,3,6,0.0,1
1360,Harshit Rana,Royal Challengers Bengaluru,5,6,0.0,1
1361,Harshit Rana,Sunrisers Hyderabad,0,1,0.0,1
1362,HC Brook,Chennai Super Kings,18,13,1.0,1
1363,HC Brook,Delhi Capitals,7,16,0.0,2
1364,HC Brook,Kolkata Knight Riders,100,62,1.0,1
1365,HC Brook,Lucknow Super Giants,3,4,0.0,1
1366,HC Brook,Mumbai Indians,9,8,1.0,2
1367,HC Brook,Punjab Kings,13,14,0.0,1
1368,HC Brook,Rajasthan Royals,13,21,0.0,1
1369,HC Brook,Royal Challengers Bangalore,27,21,1.0,0
1370,HE van der Dussen,Delhi Capitals,12,10,1.0,0
1371,HE van der Dussen,Gujarat Titans,6,11,0.0,1
1372,HE van der Dussen,Lucknow Super Giants,4,4,1.0,1
1373,HF Gurney,Chennai Super Kings,1,5,0.0,0
1374,HH Gibbs,Chennai Super Kings,150,145,1.0,4
1375,HH Gibbs,Delhi Daredevils,53,56,0.0,4
1376,HH Gibbs,Kings XI Punjab,113,118,0.0,5
1377,HH Gibbs,Kolkata Knight Riders,224,225,0.0,5
1378,HH Gibbs,Mumbai Indians,102,83,1.0,4
1379,HH Gibbs,Rajasthan Royals,52,46,1.0,3
1380,HH Gibbs,Royal Challengers Bangalore,192,164,1.0,6
1381,HH Pandya,Chennai Super Kings,210,148,1.0,9
1382,HH Pandya,Delhi Capitals,271,205,1.0,11
1383,HH Pandya,Delhi Daredevils,89,74,1.0,5
1384,HH Pandya,Gujarat Lions,19,23,0.0,3
1385,HH Pandya,Gujarat Titans,22,21,1.0,2
1386,HH Pandya,Kings XI Punjab,170,98,1.0,7
1387,HH Pandya,Kolkata Knight Riders,395,250,1.0,9
1388,HH Pandya,Lucknow Super Giants,179,136,1.0,6
1389,HH Pandya,Mumbai Indians,69,44,1.0,2
1390,HH Pandya,Punjab Kings,87,78,1.0,4
1391,HH Pandya,Rajasthan Royals,458,286,1.0,7
1392,HH Pandya,Rising Pune Supergiant,72,48,1.0,3
1393,HH Pandya,Rising Pune Supergiants,9,13,0.0,1
1394,HH Pandya,Royal Challengers Bangalore,299,216,1.0,7
1395,HH Pandya,Royal Challengers Bengaluru,63,24,2.0,1
1396,HH Pandya,Sunrisers Hyderabad,226,215,1.0,13
1397,HM Amla,Delhi Daredevils,36,39,0.0,2
1398,HM Amla,Gujarat Lions,169,101,1.0,2
1399,HM Amla,Kolkata Knight Riders,25,28,0.0,1
1400,HM Amla,Mumbai Indians,104,68,1.0,1
1401,HM Amla,Rising Pune Supergiant,28,27,1.0,1
1402,HM Amla,Rising Pune Supergiants,30,30,1.0,1
1403,HM Amla,Royal Challengers Bangalore,89,68,1.0,3
1404,HM Amla,Sunrisers Hyderabad,96,57,1.0,2
1405,HR Shokeen,Chennai Super Kings,61,63,0.0,2
1406,HR Shokeen,Lucknow Super Giants,0,1,0.0,0
1407,HR Shokeen,Royal Challengers Bangalore,5,3,1.0,1
1408,HV Patel,Chennai Super Kings,53,48,1.0,6
1409,HV Patel,Deccan Chargers,5,5,1.0,0
1410,HV Patel,Delhi Capitals,11,13,0.0,2
1411,HV Patel,Delhi Daredevils,0,1,0.0,1
1412,HV Patel,Gujarat Titans,0,1,0.0,1
1413,HV Patel,Kings XI Punjab,6,6,1.0,2
1414,HV Patel,Kolkata Knight Riders,52,46,1.0,4
1415,HV Patel,Lucknow Super Giants,12,12,1.0,0
1416,HV Patel,Mumbai Indians,17,20,0.0,2
1417,HV Patel,Punjab Kings,43,22,1.0,2
1418,HV Patel,Rajasthan Royals,40,35,1.0,3
1419,HV Patel,Royal Challengers Bengaluru,0,1,0.0,1
1420,HV Patel,Sunrisers Hyderabad,31,31,1.0,2
1421,I Malhotra,Delhi Daredevils,7,4,1.0,0
1422,I Sharma,Chennai Super Kings,21,22,0.0,0
1423,I Sharma,Deccan Chargers,9,9,1.0,1
1424,I Sharma,Kings XI Punjab,0,1,0.0,0
1425,I Sharma,Kolkata Knight Riders,2,4,0.0,0
1426,I Sharma,Mumbai Indians,11,10,1.0,1
1427,I Sharma,Rajasthan Royals,5,4,1.0,1
1428,I Sharma,Rising Pune Supergiant,1,5,0.0,1
1429,I Sharma,Royal Challengers Bangalore,0,2,0.0,1
1430,I Sharma,Royal Challengers Bengaluru,0,5,0.0,0
1431,I Sharma,Sunrisers Hyderabad,8,9,0.0,1
1432,I Udana,Delhi Capitals,5,5,1.0,2
1433,I Udana,Kings XI Punjab,10,5,2.0,0
1434,I Udana,Sunrisers Hyderabad,0,1,0.0,1
1435,IC Pandey,Royal Challengers Bangalore,0,2,0.0,1
1436,IK Pathan,Chennai Super Kings,206,173,1.0,5
1437,IK Pathan,Deccan Chargers,110,92,1.0,6
1438,IK Pathan,Delhi Daredevils,70,59,1.0,4
1439,IK Pathan,Kings XI Punjab,52,65,0.0,7
1440,IK Pathan,Kochi Tuskers Kerala,18,13,1.0,0
1441,IK Pathan,Kolkata Knight Riders,231,174,1.0,6
1442,IK Pathan,Mumbai Indians,91,82,1.0,9
1443,IK Pathan,Pune Warriors,57,56,1.0,3
1444,IK Pathan,Rajasthan Royals,133,129,1.0,3
1445,IK Pathan,Royal Challengers Bangalore,146,90,1.0,4
1446,IK Pathan,Sunrisers Hyderabad,36,52,0.0,2
1447,Imran Tahir,Chennai Super Kings,2,2,1.0,1
1448,Imran Tahir,Delhi Daredevils,0,2,0.0,0
1449,Imran Tahir,Kings XI Punjab,4,4,1.0,1
1450,Imran Tahir,Mumbai Indians,20,19,1.0,1
1451,Imran Tahir,Rajasthan Royals,4,6,0.0,1
1452,Imran Tahir,Royal Challengers Bangalore,3,4,0.0,0
1453,Iqbal Abdulla,Chennai Super Kings,3,7,0.0,1
1454,Iqbal Abdulla,Delhi Daredevils,7,10,0.0,0
1455,Iqbal Abdulla,Gujarat Lions,33,25,1.0,0
1456,Iqbal Abdulla,Kochi Tuskers Kerala,12,9,1.0,0
1457,Iqbal Abdulla,Mumbai Indians,26,28,0.0,0
1458,Iqbal Abdulla,Rajasthan Royals,1,2,0.0,0
1459,Iqbal Abdulla,Sunrisers Hyderabad,6,5,1.0,0
1460,IR Jaggi,Kolkata Knight Riders,6,16,0.0,2
1461,IR Jaggi,Mumbai Indians,30,39,0.0,2
1462,IR Jaggi,Pune Warriors,10,8,1.0,0
1463,IR Jaggi,Rajasthan Royals,25,29,0.0,1
1464,IR Jaggi,Sunrisers Hyderabad,5,8,0.0,0
1465,IS Sodhi,Delhi Capitals,6,12,0.0,1
1466,IS Sodhi,Kolkata Knight Riders,1,6,0.0,1
1467,Ishan Kishan,Chennai Super Kings,282,224,1.0,10
1468,Ishan Kishan,Delhi Capitals,438,293,1.0,7
1469,Ishan Kishan,Delhi Daredevils,91,79,1.0,5
1470,Ishan Kishan,Gujarat Titans,106,90,1.0,5
1471,Ishan Kishan,Kings XI Punjab,154,139,1.0,7
1472,Ishan Kishan,Kolkata Knight Riders,259,174,1.0,10
1473,Ishan Kishan,Lucknow Super Giants,141,146,0.0,7
1474,Ishan Kishan,Mumbai Indians,62,59,1.0,4
1475,Ishan Kishan,Punjab Kings,102,84,1.0,5
1476,Ishan Kishan,Rajasthan Royals,392,276,1.0,10
1477,Ishan Kishan,Rising Pune Supergiant,31,24,1.0,1
1478,Ishan Kishan,Rising Pune Supergiants,0,1,0.0,1
1479,Ishan Kishan,Royal Challengers Bangalore,315,214,1.0,12
1480,Ishan Kishan,Royal Challengers Bengaluru,69,35,1.0,1
1481,Ishan Kishan,Sunrisers Hyderabad,385,280,1.0,13
1482,J Arunkumar,Kings XI Punjab,1,3,0.0,1
1483,J Arunkumar,Kolkata Knight Riders,22,18,1.0,1
1484,J Arunkumar,Rajasthan Royals,0,3,0.0,1
1485,J Botha,Chennai Super Kings,57,65,0.0,4
1486,J Botha,Deccan Chargers,84,60,1.0,2
1487,J Botha,Delhi Daredevils,93,70,1.0,2
1488,J Botha,Kings XI Punjab,17,14,1.0,2
1489,J Botha,Kochi Tuskers Kerala,14,7,2.0,0
1490,J Botha,Kolkata Knight Riders,33,31,1.0,2
1491,J Botha,Mumbai Indians,49,45,1.0,2
1492,J Botha,Pune Warriors,19,21,0.0,1
1493,J Botha,Rajasthan Royals,2,3,0.0,1
1494,J Botha,Royal Challengers Bangalore,19,21,0.0,1
1495,J Botha,Sunrisers Hyderabad,22,27,0.0,3
1496,J Fraser-McGurk,Chennai Super Kings,0,5,0.0,1
1497,J Fraser-McGurk,Gujarat Titans,43,26,1.0,2
1498,J Fraser-McGurk,Kolkata Knight Riders,12,7,1.0,1
1499,J Fraser-McGurk,Lucknow Super Giants,56,44,1.0,3
1500,J Fraser-McGurk,Mumbai Indians,84,29,2.0,2
1501,J Fraser-McGurk,Rajasthan Royals,59,26,2.0,2
1502,J Fraser-McGurk,Royal Challengers Bengaluru,28,15,1.0,1
1503,J Fraser-McGurk,Sunrisers Hyderabad,103,51,2.0,2
1504,J Overton,Mumbai Indians,4,3,1.0,0
1505,J Overton,Rajasthan Royals,11,4,2.0,0
1506,J Suchith,Chennai Super Kings,7,16,0.0,1
1507,J Suchith,Delhi Capitals,14,6,2.0,0
1508,J Suchith,Kings XI Punjab,34,21,1.0,0
1509,J Suchith,Punjab Kings,0,1,0.0,1
1510,J Suchith,Rajasthan Royals,0,1,0.0,0
1511,J Suchith,Royal Challengers Bangalore,6,11,0.0,2
1512,J Suchith,Sunrisers Hyderabad,9,6,1.0,0
1513,J Syed Mohammad,Chennai Super Kings,2,3,0.0,0
1514,J Syed Mohammad,Deccan Chargers,4,1,4.0,0
1515,J Syed Mohammad,Delhi Daredevils,14,12,1.0,1
1516,J Syed Mohammad,Mumbai Indians,9,11,0.0,1
1517,J Theron,Chennai Super Kings,0,2,0.0,1
1518,J Theron,Kings XI Punjab,7,6,1.0,0
1519,J Theron,Mumbai Indians,1,1,1.0,0
1520,J Theron,Rajasthan Royals,2,4,0.0,1
1521,J Yadav,Delhi Capitals,34,26,1.0,2
1522,J Yadav,Rising Pune Supergiants,1,5,0.0,0
1523,J Yadav,Royal Challengers Bangalore,5,7,0.0,0
1524,JA Morkel,Chennai Super Kings,81,67,1.0,1
1525,JA Morkel,Deccan Chargers,138,95,1.0,3
1526,JA Morkel,Delhi Daredevils,80,60,1.0,6
1527,JA Morkel,Kings XI Punjab,112,84,1.0,5
1528,JA Morkel,Kochi Tuskers Kerala,22,14,1.0,0
1529,JA Morkel,Kolkata Knight Riders,106,77,1.0,1
1530,JA Morkel,Mumbai Indians,39,40,0.0,5
1531,JA Morkel,Pune Warriors,16,19,0.0,2
