batsman,batsman_runs,average,strike_rate,best_score
DH Yagnik,170,17.0,124.08759124087592,34
CM Gautam,169,16.9,112.66666666666667,33
MN van Wyk,167,55.666666666666664,126.51515151515152,74
DW Steyn,166,7.545454545454546,105.0632911392405,19
PA Reddy,164,16.4,102.49999999999999,42
MP Stoinis,163,23.285714285714285,123.48484848484848,52
MN Samuels,161,12.384615384615385,93.6046511627907,46
R McLaren,159,19.875,92.98245614035088,51
RE van der Merwe,159,14.454545454545455,112.7659574468085,35
B Kumar,158,8.31578947368421,100.63694267515923,24
R Dhawan,153,21.857142857142858,113.33333333333333,25
MG Johnson,151,11.615384615384615,98.69281045751634,16
SM Pollock,147,18.375,132.43243243243242,33
S Vidyut,145,18.125,133.0275229357798,54
N Saini,140,14.0,99.29078014184397,50
Sachin Baby,137,17.125,135.64356435643566,33
S Anirudha,136,17.0,120.35398230088497,64
SB Styris,131,18.714285714285715,98.49624060150376,36
W Jaffer,130,16.25,107.43801652892562,50
Kamran Akmal,128,25.6,164.1025641025641,53
D Wiese,127,31.75,141.11111111111111,47
UT Khawaja,127,21.166666666666668,127.0,30
P Dogra,127,11.545454545454545,92.02898550724638,41
M Morkel,126,11.454545454545455,140.0,23
C de Grandhomme,126,15.75,136.95652173913044,36
MC Juneja,125,17.857142857142858,97.65625,49
BB Samantray,125,25.0,110.61946902654867,55
B Lee,124,12.4,127.83505154639174,25
BCJ Cutting,124,24.8,187.87878787878788,39
AB McDonald,123,24.6,123.0,33
Niraj Patel,121,30.25,101.68067226890756,57
DL Vettori,121,15.125,107.07964601769913,29
AC Blizzard,120,17.142857142857142,133.33333333333331,51
Z Khan,117,8.357142857142858,82.97872340425532,23
RJ Harris,117,9.75,104.46428571428572,17
Misbah-ul-Haq,117,16.714285714285715,144.44444444444443,47
KK Cooper,116,12.88888888888889,170.58823529411765,32
M Kartik,113,16.142857142857142,104.62962962962963,21
MM Sharma,112,8.0,109.80392156862746,21
DJ Harris,111,27.75,109.9009900990099,47
LJ Wright,106,21.2,176.66666666666666,44
JDP Oram,106,13.25,98.14814814814815,41
RJ Quiney,103,14.714285714285714,100.98039215686273,51
V Shankar,101,50.5,134.66666666666666,63
SD Chitnis,99,14.142857142857142,111.23595505617978,38
MS Gony,99,9.9,139.43661971830986,42
MJ Clarke,98,16.333333333333332,104.25531914893618,41
CJ Ferguson,98,16.333333333333332,83.76068376068376,23
MA Starc,96,13.714285714285714,97.95918367346938,29
CR Brathwaite,95,11.875,179.24528301886792,34
UT Yadav,94,13.428571428571429,104.44444444444446,24
DJ Jacobs,92,13.142857142857142,93.87755102040816,32
PR Shah,92,11.5,101.0989010989011,29
RT Ponting,91,10.11111111111111,71.09375,28
S Rana,91,22.75,112.34567901234568,19
DS Kulkarni,90,11.25,93.75,28
Iqbal Abdulla,88,44.0,104.76190476190477,33
SL Malinga,88,5.5,88.88888888888889,17
AP Majumdar,87,21.75,114.4736842105263,31
Ankit Sharma,87,12.428571428571429,129.8507462686567,30
RE Levi,83,13.833333333333334,113.69863013698631,50
Shahid Afridi,81,10.125,176.08695652173913,33
WPUJC Vaas,81,10.125,110.95890410958904,20
LA Carseldine,81,20.25,119.11764705882352,39
AD Mascarenhas,79,8.777777777777779,101.28205128205127,27
PJ Cummins,77,12.833333333333334,140.0,24
IR Jaggi,76,15.2,78.35051546391753,28
B Akhil,76,12.666666666666666,138.1818181818182,27
TR Birt,75,15.0,129.31034482758622,27
M Klinger,73,18.25,94.8051948051948,29
RR Sarwan,73,18.25,97.33333333333334,31
AA Bilakhia,69,13.8,81.17647058823529,22
RR Powar,67,22.333333333333332,104.6875,28
R Sharma,66,4.714285714285714,88.0,14
Mohammad Hafeez,64,9.142857142857142,77.10843373493977,16
WD Parnell,63,7.0,84.0,16
Anirudh Singh,63,15.75,95.45454545454545,40
MJ McClenaghan,63,7.875,143.1818181818182,20
A Flintoff,62,31.0,116.98113207547169,24
JJ Roy,59,29.5,147.5,31
S Aravind,59,14.75,103.50877192982458,14
WA Mota,56,9.333333333333334,74.66666666666667,25
K Rabada,55,18.333333333333332,85.9375,44
M Rawat,55,11.0,79.71014492753623,23
TG Southee,54,9.0,154.2857142857143,25
AJ Tye,53,26.5,176.66666666666666,25
A Chopra,53,8.833333333333334,74.64788732394366,24
RR Rossouw,53,10.6,103.921568627451,24
NM Coulter-Nile,52,6.5,104.0,9
RP Singh,52,3.466666666666667,68.42105263157895,10
Shoaib Malik,52,13.0,110.63829787234043,24
R Rampaul,51,10.2,102.0,23
KB Arun Karthik,51,10.2,100.0,19
RV Gomez,50,10.0,98.0392156862745,26
AS Yadav,49,9.8,125.64102564102564,16
SB Bangar,49,7.0,84.48275862068965,17
AG Paunikar,49,9.8,84.48275862068965,20
J Suchith,48,48.0,150.0,34
Yashpal Singh,47,11.75,71.21212121212122,20
HV Patel,47,5.222222222222222,138.23529411764704,10
VR Aaron,46,11.5,83.63636363636363,17
CR Woakes,46,11.5,97.87234042553192,18
Mohammed Shami,46,6.571428571428571,102.22222222222221,21
I Sharma,45,7.5,77.58620689655173,9
Sunny Singh,43,10.75,138.70967741935485,20
JDS Neesham,42,14.0,91.30434782608695,22
SK Trivedi,42,6.0,71.1864406779661,9
AB Barath,42,21.0,100.0,33
A Nehra,41,5.857142857142857,66.12903225806451,22
BR Dunk,40,13.333333333333334,114.28571428571428,20
LPC Silva,40,20.0,153.84615384615387,23
DJ Thornely,39,13.0,73.58490566037736,30
Umar Gul,39,13.0,205.26315789473685,24
MM Patel,39,6.5,95.1219512195122,23
AUK Pathan,39,7.8,169.56521739130434,14
SP Jackson,38,19.0,122.58064516129032,16
JO Holder,38,7.6,122.58064516129032,16
S Narwal,37,12.333333333333334,137.03703703703704,23
KW Richardson,36,12.0,92.3076923076923,26
AN Ahmed,36,36.0,138.46153846153845,18
Sohail Tanvir,36,12.0,124.13793103448276,13
L Balaji,36,4.5,73.46938775510205,15
Joginder Sharma,36,9.0,120.0,16
A Kumble,35,11.666666666666666,74.46808510638297,8
R Tewatia,35,17.5,145.83333333333331,16
B Sumanth,35,35.0,94.5945945945946,16
A Mithun,34,6.8,130.76923076923077,11
S Sreesanth,34,8.5,61.81818181818181,15
AP Dole,34,17.0,154.54545454545453,30
L Ronchi,34,6.8,100.0,13
Anureet Singh,33,8.25,76.74418604651163,15
D Salunkhe,33,16.5,137.5,26
RJ Peterson,32,10.666666666666666,106.66666666666667,16
S Sriram,31,15.5,86.11111111111111,27
T Taibu,31,10.333333333333334,119.23076923076923,15
C Munro,30,10.0,100.0,16
J Syed Mohammad,29,14.5,111.53846153846155,13
VH Zol,29,14.5,111.53846153846155,16
Basil Thampi,28,28.0,100.0,13
SB Jakati,28,28.0,96.55172413793103,13
S Nadeem,26,2.1666666666666665,37.142857142857146,6
NL McCullum,26,26.0,118.18181818181819,15
Sandeep Sharma,26,26.0,74.28571428571429,7
JM Kemp,26,13.0,108.33333333333333,22
AB Dinda,26,2.6,54.166666666666664,7
JJ Bumrah,25,12.5,96.15384615384616,16
A Choudhary,25,25.0,125.0,15
S Chanderpaul,25,8.333333333333334,80.64516129032258,16
ER Dwivedi,24,12.0,171.42857142857142,19
MA Khote,24,12.0,109.09090909090908,9
PJ Sangwan,24,4.0,68.57142857142857,6
J Arunkumar,23,7.666666666666667,100.0,22
NS Naik,23,11.5,74.19354838709677,22
BMAJ Mendis,23,7.666666666666667,85.18518518518519,12
SW Tait,23,7.666666666666667,88.46153846153845,11
GB Hogg,22,7.333333333333333,100.0,13
MS Wade,22,7.333333333333333,66.66666666666666,11
DE Bollinger,21,21.0,91.30434782608695,16
CA Ingram,21,10.5,80.76923076923077,13
NJ Maddinson,20,6.666666666666667,95.23809523809523,12
Kuldeep Yadav,20,10.0,90.9090909090909,16
RR Raje,20,20.0,111.11111111111111,11
AD Nath,20,5.0,71.42857142857143,12
AC Thomas,20,10.0,105.26315789473684,12
Harpreet Singh,20,10.0,76.92307692307693,13
M Muralitharan,20,3.3333333333333335,66.66666666666666,6
P Sahu,19,19.0,146.15384615384613,18
Vishnu Vinod,19,6.333333333333333,73.07692307692307,9
DR Martyn,19,19.0,79.16666666666666,19
Y Gnaneswara Rao,19,19.0,111.76470588235294,19
A Mukund,19,9.5,86.36363636363636,19
R Bishnoi,19,6.333333333333333,111.76470588235294,18
R Shukla,19,19.0,82.6086956521739,14
DS Lehmann,18,9.0,100.0,17
Harmeet Singh,18,4.5,150.0,14
Imran Tahir,18,4.5,72.0,5
BJ Haddin,18,18.0,163.63636363636365,18
JJ van der Wath,18,9.0,112.5,14
PV Tambe,18,9.0,46.15384615384615,7
Parvez Rasool,17,8.5,85.0,10
CK Kapugedera,16,5.333333333333333,69.56521739130434,8
PP Ojha,16,1.3333333333333333,35.55555555555556,3
VY Mahesh,15,7.5,55.55555555555556,6
YS Chahal,15,5.0,53.57142857142857,4
C Madan,15,15.0,78.94736842105263,15
SA Abbott,15,7.5,115.38461538461537,14
KC Cariappa,15,5.0,83.33333333333334,12
GR Napier,15,15.0,93.75,15
S Gopal,14,7.0,51.85185185185185,11
DL Chahar,14,14.0,233.33333333333334,14
F Behardien,14,7.0,107.6923076923077,9
MDKJ Perera,14,7.0,107.6923076923077,14
DT Patil,13,6.5,100.0,9
S Badree,13,2.6,56.52173913043478,8
KJ Abbott,13,13.0,162.5,12
AA Chavan,12,6.0,109.09090909090908,7
Karanveer Singh,12,12.0,70.58823529411765,5
DAJ Bracewell,12,12.0,133.33333333333331,12
AR Bawne,12,12.0,100.0,12
K Upadhyay,12,12.0,133.33333333333331,11
T Thushara,12,6.0,66.66666666666666,8
Swapnil Singh,12,4.0,60.0,10
T Kohli,11,3.6666666666666665,57.89473684210527,7
T Henderson,11,5.5,68.75,11
M Ntini,11,11.0,61.111111111111114,11
Rashid Khan,11,5.5,122.22222222222223,6
DNT Zoysa,11,11.0,122.22222222222223,10
SMSM Senanayake,10,10.0,58.82352941176471,7
KAJ Roach,10,10.0,111.11111111111111,10
D du Preez,10,10.0,76.92307692307693,10
TD Paine,10,5.0,38.46153846153847,8
J Theron,10,5.0,83.33333333333334,7
X Thalaivan Sargunam,10,10.0,58.82352941176471,10
AG Murtaza,10,10.0,71.42857142857143,5
SM Harwood,9,9.0,64.28571428571429,6
S Kaul,9,9.0,69.23076923076923,7
AA Noffke,9,9.0,90.0,9
Washington Sundar,9,9.0,75.0,5
CK Langeveldt,8,4.0,88.88888888888889,8
TM Srivastava,8,8.0,72.72727272727273,7
Jaskaran Singh,8,8.0,72.72727272727273,4
TS Mills,8,2.6666666666666665,72.72727272727273,6
CJ McKay,8,8.0,53.333333333333336,8
I Malhotra,7,7.0,175.0,7
UA Birla,7,7.0,50.0,7
SN Thakur,7,2.3333333333333335,77.77777777777779,7
AF Milne,7,3.5,58.333333333333336,5
VS Malik,7,7.0,100.0,6
Pankaj Singh,7,3.5,58.333333333333336,4
Ankit Soni,7,3.5,77.77777777777779,7
AN Ghosh,7,3.5,87.5,7
SB Joshi,6,3.0,42.857142857142854,3
