,batsman,playing_team,total_runs,total_balls_faced,strike_rate,dismissals
155,AS Rajpoot,Chennai Super Kings,2,6,0.0,0
156,AS Rajpoot,Kings XI Punjab,11,18,0.0,2
157,AS Rajpoot,Kolkata Knight Riders,4,7,0.0,1
158,AS Rajpoot,Rajasthan Royals,9,10,0.0,1
159,AS Raut,Rajasthan Royals,194,172,1.0,9
160,AS Roy,Kolkata Knight Riders,26,24,1.0,3
161,AS Yadav,Deccan Chargers,49,40,1.0,5
162,Ashutosh Sharma,Delhi Capitals,136,85,1.0,3
163,Ashutosh Sharma,Punjab Kings,189,118,1.0,7
164,AT Carey,Delhi Capitals,32,29,1.0,2
165,AT Rayudu,Chennai Super Kings,1932,1526,1.0,63
166,AT Rayudu,Mumbai Indians,2416,1964,1.0,85
167,Atharva Taide,Punjab Kings,247,177,1.0,8
168,AU Rashid,Sunrisers Hyderabad,22,17,1.0,2
169,AUK Pathan,Royal Challengers Bangalore,39,26,1.0,5
170,Avesh Khan,Delhi Capitals,9,6,1.0,0
171,Avesh Khan,Lucknow Super Giants,24,17,1.0,1
172,Avesh Khan,Rajasthan Royals,10,5,2.0,0
173,Azhar Mahmood,Kings XI Punjab,382,303,1.0,18
174,Azhar Mahmood,Kolkata Knight Riders,6,8,0.0,1
175,Azmatullah Omarzai,Gujarat Titans,42,34,1.0,4
176,Azmatullah Omarzai,Punjab Kings,16,15,1.0,1
177,B Akhil,Kochi Tuskers Kerala,13,9,1.0,1
178,B Akhil,Royal Challengers Bangalore,63,48,1.0,4
179,B Chipli,Deccan Chargers,244,207,1.0,11
180,B Chipli,Delhi Daredevils,16,19,0.0,1
181,B Chipli,Royal Challengers Bangalore,20,30,0.0,3
182,B Indrajith,Kolkata Knight Riders,21,31,0.0,3
183,B Kumar,Pune Warriors,93,114,0.0,10
184,B Kumar,Royal Challengers Bengaluru,10,22,0.0,1
185,B Kumar,Sunrisers Hyderabad,213,224,0.0,22
186,B Laughlin,Chennai Super Kings,4,9,0.0,1
187,B Laughlin,Rajasthan Royals,1,4,0.0,1
188,B Lee,Kings XI Punjab,56,60,0.0,4
189,B Lee,Kolkata Knight Riders,68,42,1.0,5
190,B Sai Sudharsan,Gujarat Titans,1451,1062,1.0,29
191,B Stanlake,Sunrisers Hyderabad,5,2,2.0,0
192,B Sumanth,Deccan Chargers,35,38,0.0,1
193,BA Bhatt,Kings XI Punjab,6,7,0.0,0
194,BA Stokes,Chennai Super Kings,15,15,1.0,2
195,BA Stokes,Rajasthan Royals,604,476,1.0,26
196,BA Stokes,Rising Pune Supergiant,316,227,1.0,10
197,Basil Thampi,Gujarat Lions,28,30,0.0,0
198,Basil Thampi,Sunrisers Hyderabad,4,7,0.0,1
199,BAW Mendis,Kolkata Knight Riders,1,2,0.0,1
200,BAW Mendis,Pune Warriors,2,4,0.0,1
201,BB McCullum,Chennai Super Kings,841,634,1.0,25
202,BB McCullum,Gujarat Lions,674,500,1.0,27
203,BB McCullum,Kochi Tuskers Kerala,357,292,1.0,13
204,BB McCullum,Kolkata Knight Riders,883,755,1.0,31
205,BB McCullum,Royal Challengers Bangalore,127,91,1.0,6
206,BB Samantray,Deccan Chargers,2,2,1.0,0
207,BB Samantray,Sunrisers Hyderabad,123,114,1.0,5
208,BB Sran,Kings XI Punjab,3,7,0.0,1
209,BB Sran,Mumbai Indians,3,3,1.0,0
210,BB Sran,Sunrisers Hyderabad,4,4,1.0,0
