batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
LA Pomersbach,302,27.454545454545453,122.7642276422764,79,150.21877309682185,2025-04-27
A Choudhary,25,25.0,125.0,15,150.0,2025-04-27
DJ Hussey,1322,26.97959183673469,122.97674418604652,71,149.95633602278122,2025-04-27
SV Samson,1426,25.464285714285715,124.43280977312392,102,149.89709548740964,2025-04-27
M Vijay,2511,26.431578947368426,123.39066339066338,127,149.8222423380318,2025-04-27
S Badrinath,1441,30.659574468085108,118.8943894389439,71,149.55396390702901,2025-04-27
Sunny Singh,43,10.75,138.70967741935485,20,149.45967741935485,2025-04-27
S Narwal,37,12.333333333333334,137.03703703703704,23,149.37037037037038,2025-04-27
MS Gony,99,9.9,139.43661971830986,42,149.33661971830986,2025-04-27
DJ Bravo,1262,22.945454545454545,126.32632632632632,70,149.27178087178086,2025-04-27
AD Mathews,724,23.35483870967742,125.91304347826086,65,149.26788218793828,2025-04-27
LRPL Taylor,1017,25.425,123.72262773722628,81,149.1476277372263,2025-04-27
MK Pandey,2223,28.5,120.35733622089874,114,148.85733622089873,2025-04-27
Iqbal Abdulla,88,44.0,104.76190476190476,33,148.76190476190476,2025-04-27
Azhar Mahmood,388,20.42105263157895,128.05280528052805,80,148.473857912107,2025-04-27
AR Patel,606,20.2,128.1183932346723,44,148.3183932346723,2025-04-27
UT Khawaja,127,21.166666666666668,127.0,30,148.16666666666666,2025-04-27
A Flintoff,62,31.0,116.98113207547168,24,147.9811320754717,2025-04-27
SS Tiwary,1276,28.355555555555554,119.58762886597938,61,147.94318442153494,2025-04-27
AB McDonald,123,24.6,123.0,33,147.6,2025-04-27
Salman Butt,193,27.571428571428573,119.87577639751552,73,147.4472049689441,2025-04-27
P Negi,353,17.65,129.77941176470588,36,147.4294117647059,2025-04-27
KC Sangakkara,1687,25.953846153846158,121.19252873563218,94,147.14637488947835,2025-04-27
RA Jadeja,1732,24.05555555555556,122.92405961674946,48,146.97961517230502,2025-04-27
STR Binny,766,20.157894736842103,126.82119205298012,48,146.97908678982222,2025-04-27
MP Stoinis,163,23.285714285714285,123.48484848484848,52,146.77056277056278,2025-04-27
MK Tiwary,1648,29.428571428571427,117.2953736654804,75,146.72394509405183,2025-04-27
RS Bopara,531,29.5,117.2185430463576,84,146.71854304635758,2025-04-27
GJ Bailey,663,24.55555555555556,121.875,61,146.43055555555557,2025-04-27
SA Asnodkar,423,21.15,124.7787610619469,60,145.9287610619469,2025-04-27
K Upadhyay,12,12.0,133.33333333333331,11,145.33333333333331,2025-04-27
DAJ Bracewell,12,12.0,133.33333333333331,12,145.33333333333331,2025-04-27
S Sohal,368,18.4,126.02739726027396,62,144.42739726027395,2025-04-27
TR Birt,75,15.0,129.31034482758622,27,144.31034482758622,2025-04-27
NL McCullum,26,26.0,118.1818181818182,15,144.1818181818182,2025-04-27
PC Valthaty,505,22.954545454545453,120.8133971291866,120,143.76794258373207,2025-04-27
R Dravid,2174,28.233766233766232,115.5154091392136,75,143.74917537297983,2025-04-27
HV Patel,47,5.222222222222222,138.23529411764704,10,143.45751633986927,2025-04-27
IK Pathan,1150,21.69811320754717,121.05263157894736,60,142.75074478649452,2025-04-27
EJG Morgan,854,21.35,121.13475177304964,66,142.48475177304965,2025-04-27
Ankit Sharma,87,12.428571428571429,129.8507462686567,30,142.27931769722812,2025-04-27
DJG Sammy,295,19.666666666666668,122.40663900414938,60,142.07330567081604,2025-04-27
Gurkeerat Singh,342,16.285714285714285,125.73529411764706,51,142.02100840336135,2025-04-27
SP Jackson,38,19.0,122.58064516129032,16,141.5806451612903,2025-04-27
DT Christian,420,18.26086956521739,123.16715542521996,39,141.42802499043734,2025-04-27
TM Dilshan,1153,26.813953488372093,114.49851042701091,76,141.312463915383,2025-04-27
Mandeep Singh,1112,20.21818181818182,120.8695652173913,77,141.0877470355731,2025-04-27
DH Yagnik,170,17.0,124.08759124087592,34,141.08759124087592,2025-04-27
MA Agarwal,814,17.695652173913043,123.33333333333334,68,141.02898550724638,2025-04-27
SP Fleming,196,21.77777777777778,118.7878787878788,45,140.56565656565658,2025-04-27
B Lee,124,12.4,127.83505154639174,25,140.23505154639173,2025-04-27
Y Venugopal Rao,985,22.38636363636364,117.82296650717704,71,140.20933014354068,2025-04-27
NV Ojha,1553,20.986486486486488,118.6401833460657,94,139.62666983255218,2025-04-27
LA Carseldine,81,20.25,119.11764705882352,39,139.36764705882354,2025-04-27
GC Smith,739,28.423076923076923,110.62874251497006,91,139.05181943804698,2025-04-27
PA Patel,2322,21.70093457943925,117.213528520949,81,138.91446310038825,2025-04-27
TL Suman,676,21.125,117.56521739130434,78,138.69021739130434,2025-04-27
JEC Franklin,327,29.727272727272727,108.63787375415282,79,138.36514648142554,2025-04-27
AP Tare,339,14.125,124.17582417582418,59,138.30082417582418,2025-04-27
DB Das,304,21.714285714285715,116.47509578544062,35,138.18938149972632,2025-04-27
DB Ravi Teja,375,19.73684210526316,118.29652996845424,60,138.0333720737174,2025-04-27
JH Kallis,2427,28.55294117647059,109.22592259225922,89,137.77886376872982,2025-04-27
AS Raut,194,21.55555555555556,116.1676646706587,36,137.72322022621427,2025-04-27
DJ Harris,111,27.75,109.9009900990099,47,137.6509900990099,2025-04-27
A Mithun,34,6.8,130.76923076923077,11,137.56923076923078,2025-04-27
HH Gibbs,886,27.6875,109.78934324659232,69,137.47684324659232,2025-04-27
S Anirudha,136,17.0,120.35398230088497,64,137.35398230088498,2025-04-27
CRD Fernando,4,4.0,133.33333333333331,2,137.33333333333331,2025-04-27
AP Majumdar,87,21.75,114.4736842105263,31,136.2236842105263,2025-04-27
Sohail Tanvir,36,12.0,124.13793103448276,13,136.13793103448276,2025-04-27
BB Samantray,125,25.0,110.61946902654869,55,135.6194690265487,2025-04-27
AS Yadav,49,9.8,125.64102564102564,16,135.44102564102565,2025-04-27
VRV Singh,4,2.0,133.33333333333331,4,135.33333333333331,2025-04-27
R Dhawan,153,21.857142857142858,113.33333333333331,25,135.19047619047618,2025-04-27
S Rana,91,22.75,112.34567901234568,19,135.09567901234567,2025-04-27
MS Bisla,798,21.0,113.67521367521368,92,134.67521367521368,2025-04-27
J Botha,409,20.45,113.9275766016713,67,134.3775766016713,2025-04-27
AM Nayar,672,17.68421052631579,116.46447140381282,45,134.14868193012862,2025-04-27
AB Agarkar,179,17.9,116.23376623376625,39,134.13376623376624,2025-04-27
MR Marsh,225,18.75,114.79591836734696,38,133.54591836734696,2025-04-27
DNT Zoysa,11,11.0,122.22222222222224,10,133.22222222222223,2025-04-27
R Sathish,270,15.882352941176473,116.88311688311688,27,132.76546982429335,2025-04-27
SC Ganguly,1349,25.452830188679247,106.80918448139352,91,132.26201467007277,2025-04-27
Niraj Patel,121,30.25,101.68067226890756,57,131.93067226890756,2025-04-27
YV Takawale,192,24.0,107.86516853932584,45,131.86516853932585,2025-04-27
R Bhatia,342,11.4,120.4225352112676,26,131.8225352112676,2025-04-27
AL Menaria,401,19.09523809523809,112.64044943820224,40,131.73568753344034,2025-04-27
